title	author	status	started	finished
The Aleph and Other Stories	Jorge Luis Borges	read	Fri Jan 11 2019 08:19:09 GMT-0600 (Central Standard Time)	Sat Jan 26 2019 22:41:37 GMT-0600 (Central Standard Time)
The Power	Naomi Alderman	read	Fri Jan 04 2019 07:17:08 GMT-0600 (Central Standard Time)	Thu Jan 10 2019 07:42:44 GMT-0600 (Central Standard Time)
Foundation and Empire (Foundation #2)	Isaac Asimov	read	Sun Dec 23 2018 20:43:55 GMT-0600 (Central Standard Time)	Fri Dec 28 2018 11:19:56 GMT-0600 (Central Standard Time)
Grief	Andrew Holleran	read	Mon Nov 12 2018 00:20:50 GMT-0600 (Central Standard Time)	Mon Nov 12 2018 00:21:23 GMT-0600 (Central Standard Time)
A Confederacy of Dunces	John Kennedy Toole	read	Sun Oct 14 2018 21:24:39 GMT-0500 (Central Daylight Time)	Sat Nov 03 2018 13:12:01 GMT-0500 (Central Daylight Time)
A Cool Million and The Dream Life of Balso Snell: Two Novels	Nathanael West	read	--	Tue Oct 09 2018 02:00:00 GMT-0500 (Central Daylight Time)
A Cool Million and the Dream Life of Balso Snell: Two Novels	TKTK	read	Sun Oct 07 2018 02:00:00 GMT-0500 (Central Daylight Time)	Tue Oct 09 2018 02:00:00 GMT-0500 (Central Daylight Time)
Automating Inequality: How High-Tech Tools Profile, Police, and Punish the Poor	Virginia Eubanks	read	Thu Sep 20 2018 07:57:02 GMT-0500 (Central Daylight Time)	Sun Sep 30 2018 09:35:14 GMT-0500 (Central Daylight Time)
The Left Hand of Darkness	TKTK	read	Sun Aug 26 2018 19:15:43 GMT-0500 (Central Daylight Time)	Sun Sep 16 2018 10:36:13 GMT-0500 (Central Daylight Time)
The Grid: Electrical Infrastructure for a New Era	Gretchen Bakke	read	Thu Jun 28 2018 10:08:41 GMT-0500 (Central Daylight Time)	Sun Aug 26 2018 16:32:39 GMT-0500 (Central Daylight Time)
Broad Band: The Untold Story of the Women Who Made the Internet	Claire L.  Evans	read	Mon Jul 02 2018 06:44:28 GMT-0500 (Central Daylight Time)	Sun Jul 15 2018 07:47:54 GMT-0500 (Central Daylight Time)
Stories of Your Life and Others	Ted Chiang	read	Thu Jun 14 2018 18:03:22 GMT-0500 (Central Daylight Time)	Thu Jun 28 2018 09:59:30 GMT-0500 (Central Daylight Time)
Pierre: Or the Ambiguities	Herman Melville	read	Sun Apr 22 2018 22:54:07 GMT-0500 (Central Daylight Time)	Tue Jun 12 2018 07:53:38 GMT-0500 (Central Daylight Time)
The Elementary Particles	Michel Houellebecq	read	Fri Apr 13 2018 13:49:15 GMT-0500 (Central Daylight Time)	Fri Apr 20 2018 16:44:00 GMT-0500 (Central Daylight Time)
The Bell Jar	TKTK	read	Thu Apr 05 2018 16:36:50 GMT-0500 (Central Daylight Time)	Fri Apr 13 2018 13:45:18 GMT-0500 (Central Daylight Time)
Everything That Rises Must Converge: Stories	TKTK	read	Fri Mar 09 2018 18:27:46 GMT-0600 (Central Standard Time)	Wed Apr 04 2018 18:03:16 GMT-0500 (Central Daylight Time)
Solaris	TKTK	read	Thu Mar 01 2018 18:51:55 GMT-0600 (Central Standard Time)	Thu Mar 08 2018 12:42:06 GMT-0600 (Central Standard Time)
Society of the Spectacle	Guy Debord	read	Mon Feb 12 2018 20:56:59 GMT-0600 (Central Standard Time)	Thu Mar 01 2018 18:16:33 GMT-0600 (Central Standard Time)
Lolita	TKTK	read	Sun Jan 07 2018 22:31:13 GMT-0600 (Central Standard Time)	Sun Feb 11 2018 21:49:45 GMT-0600 (Central Standard Time)
Alexander Hamilton	TKTK	read	Mon Nov 27 2017 17:44:08 GMT-0600 (Central Standard Time)	Mon Jan 22 2018 16:41:01 GMT-0600 (Central Standard Time)
The Art of the Novel	Milan Kundera	read	Thu Dec 28 2017 13:25:28 GMT-0600 (Central Standard Time)	Thu Jan 04 2018 21:37:40 GMT-0600 (Central Standard Time)
Speaker for the Dead (Ender’s Saga, #2)	Orson Scott Card	read	--	Thu Dec 28 2017 00:34:48 GMT-0600 (Central Standard Time)
Speaker for the Dead (Ender's Saga, #2)	TKTK	read	Fri Nov 10 2017 21:14:08 GMT-0600 (Central Standard Time)	Thu Dec 28 2017 00:34:48 GMT-0600 (Central Standard Time)
Northlanders Book 1: The Anglo-Saxon Saga (Northlanders, Book 1)	Brian Wood	read	Fri Dec 01 2017 20:14:56 GMT-0600 (Central Standard Time)	Wed Dec 06 2017 08:17:13 GMT-0600 (Central Standard Time)
The Doll	Bolesław Prus	read	Tue Aug 01 2017 20:28:48 GMT-0500 (Central Daylight Time)	Tue Nov 21 2017 23:10:20 GMT-0600 (Central Standard Time)
Modern Romance	Aziz Ansari	read	Thu Nov 09 2017 20:44:57 GMT-0600 (Central Standard Time)	Sat Nov 18 2017 22:46:13 GMT-0600 (Central Standard Time)
Ender's Game (Ender's Saga, #1)	Orson Scott Card	read	Wed Oct 11 2017 16:44:56 GMT-0500 (Central Daylight Time)	Thu Nov 02 2017 09:54:42 GMT-0500 (Central Daylight Time)
Oryx and Crake (MaddAddam, #1)	Margaret Atwood	read	Tue Sep 26 2017 07:29:36 GMT-0500 (Central Daylight Time)	Wed Oct 04 2017 11:20:53 GMT-0500 (Central Daylight Time)
Between the World and Me	TKTK	read	Tue Sep 26 2017 06:24:38 GMT-0500 (Central Daylight Time)	Sat Sep 30 2017 15:03:26 GMT-0500 (Central Daylight Time)
I, Robot	Isaac Asimov	read	Tue Sep 12 2017 09:20:04 GMT-0500 (Central Daylight Time)	Tue Sep 19 2017 20:15:38 GMT-0500 (Central Daylight Time)
Letter 44, Volume 4: Saviors	Charles Soule	read	Mon Sep 18 2017 02:00:00 GMT-0500 (Central Daylight Time)	Tue Sep 19 2017 08:46:52 GMT-0500 (Central Daylight Time)
Letter 44, Volume 3: Dark Matter	Charles Soule	read	Sun Sep 17 2017 17:32:42 GMT-0500 (Central Daylight Time)	Mon Sep 18 2017 06:35:13 GMT-0500 (Central Daylight Time)
Bartleby and Benito Cereno	TKTK	read	Sun Sep 03 2017 02:00:00 GMT-0500 (Central Daylight Time)	Thu Sep 07 2017 13:52:47 GMT-0500 (Central Daylight Time)
On Tyranny: Twenty Lessons from the Twentieth Century	Timothy Snyder	read	Fri Sep 01 2017 02:00:00 GMT-0500 (Central Daylight Time)	Sat Sep 02 2017 02:00:00 GMT-0500 (Central Daylight Time)
The Stars, Like Dust (Galactic Empire, #1)	Isaac Asimov	read	Wed Aug 02 2017 09:19:17 GMT-0500 (Central Daylight Time)	Tue Aug 22 2017 18:46:03 GMT-0500 (Central Daylight Time)
Operation Paperclip: The Secret Intelligence Program that Brought Nazi Scientists to America	Annie Jacobsen	read	Tue Jun 20 2017 13:27:41 GMT-0500 (Central Daylight Time)	Wed Aug 02 2017 09:03:36 GMT-0500 (Central Daylight Time)
Conquest of the Useless: Reflections from the Making of Fitzcarraldo	Werner Herzog	read	Sun Jul 02 2017 22:02:40 GMT-0500 (Central Daylight Time)	Tue Aug 01 2017 20:18:53 GMT-0500 (Central Daylight Time)
The Wind-Up Bird Chronicle	TKTK	read	Fri May 19 2017 03:01:21 GMT-0500 (Central Daylight Time)	Sat Jul 01 2017 14:51:24 GMT-0500 (Central Daylight Time)
